,PPV,TPR,F1,INF
6XQD_2B,,,,
6XQD_2x,,,,
6XQE_1B,,,,
6XQE_1x,,,,
6XQE_2B,,,,
6XQE_2x,,,,
6XRZ_A,,,,
6XU6_A7,,,,
6XU7_A7,,,,
6XU7_B,,,,
6XU8_A7,,,,
6XZ7_B,,,,
6XZ7_f,,,,
6XZA_B2,,,,
6XZA_f2,,,,
6XZB_B2,,,,
6XZB_f2,,,,
6Y3G_F,0.524,0.579,0.55,0.551
6Y4B_F,0.524,0.611,0.564,0.566
6Y53_2,0.792,0.792,0.792,0.792
6Y5Q_2,0.486,0.545,0.514,0.515
6Y69_B,,,,
6Y6X_L7,,,,
6YEF_B,,,,
6YEF_x,,,,
6YHS_5,,,,
6YLG_3,,,,
6YLH_3,,,,
6YPU_4,0.214,0.209,0.212,0.212
6YS3_a,,,,
6YS3_v,,,,
6YS5_3,0.75,0.783,0.766,0.766
6YSI_5,,,,
6YSR_B,,,,
6YSR_w,0.952,1.0,0.976,0.976
6YSS_B,,,,
6YSS_w,0.952,1.0,0.976,0.976
6YST_B,,,,
6YST_w,0.952,1.0,0.976,0.976
6YSU_B,,,,
6YSU_w,0.947,1.0,0.973,0.973
6YT9_4,0.209,0.205,0.207,0.207
6YTF_3,0.746,0.779,0.762,0.762
6YWX_bb,0.368,0.389,0.378,0.379
6YWY_bb,0.909,1.0,0.952,0.953
6Z6J_C4,,,,
6Z6K_C4,,,,
6Z6L_CC,,,,
6Z6L_L7,,,,
6Z6M_CC,,,,
6Z6M_L7,,,,
6Z6N_CC,,,,
6Z6N_L7,,,,
6ZJ3_LJ,0.0,0.0,0.0,0.0
6ZJ3_LO,,,,
6ZJ3_S2,1.0,1.0,1.0,1.0
6ZJ3_S3,0.941,0.889,0.914,0.915
6ZJ3_S4,1.0,1.0,1.0,1.0
6ZM7_CC,,,,
6ZM7_L7,,,,
6ZME_CC,,,,
6ZME_L7,,,,
6ZMI_CC,,,,
6ZMI_L7,,,,
6ZMO_CB,,,,
6ZMO_CC,,,,
6ZMO_L7,,,,
6ZOL_2,0.167,0.153,0.16,0.16
6ZP4_1,,,,
6ZQC_D4,0.545,0.632,0.585,0.587
6ZTJ_AW,,,,
6ZTJ_AX,0.333,0.412,0.368,0.37
6ZTJ_BB,,,,
6ZTL_AW,,,,
6ZTL_AX,0.333,0.412,0.368,0.37
6ZTL_BB,,,,
6ZTM_AW,,,,
6ZTM_AX,0.333,0.412,0.368,0.37
6ZTM_BB,,,,
6ZTN_AW,,,,
6ZTN_AX,0.333,0.412,0.368,0.37
6ZTN_AZ,0.35,0.438,0.389,0.391
6ZTN_BB,,,,
6ZTO_AW,,,,
6ZTO_AX,0.333,0.412,0.368,0.37
6ZTO_BB,,,,
6ZTP_AW,,,,
6ZTP_AX,0.333,0.412,0.368,0.37
6ZTP_BB,,,,
6ZU1_AW,,,,
6ZU1_AX,0.333,0.412,0.368,0.37
6ZU1_BB,,,,
6ZU5_L70,,,,
6ZU9_1,,,,
6ZVH_x,,,,
6ZVI_d,0.294,0.278,0.286,0.286
6ZVI_e,,,,
6ZVK_d2,,,,
6ZYM_6,0.538,0.778,0.636,0.647
4C9D_D,0.0,0.0,0.0,0.0
6LVR_B,0.389,0.583,0.467,0.476
