,PPV,TPR,F1,INF
7K50_5,,,,
7K50_6,,,,
7K50_7,,,,
7K51_2,,,,
7K51_5,,,,
7K51_6,,,,
7K52_2,,,,
7K52_5,,,,
7K52_6,,,,
7K53_2,,,,
7K53_5,,,,
7K53_6,,,,
7K53_7,,,,
7K54_2,,,,
7K54_5,,,,
7K54_6,,,,
7K55_2,,,,
7K55_5,,,,
7K55_6,,,,
7K98_F,0.652,0.714,0.682,0.683
7K9M_C,0.0,0.0,0.0,0.0
7KA0_C,0.0,0.0,0.0,0.0
7KA0_F,0.0,0.0,0.0,0.0
7KAB_C,0.0,0.0,0.0,0.0
7KGA_B,0.0,0.0,0.0,0.0
7KGB_B,,,,
7KJT_A,,,,
7KJU_A,,,,
7LH5_AV,,,,
7LH5_AW,0.419,0.684,0.52,0.536
7LH5_BB,,,,
7LH5_CV,,,,
7LH5_CW,0.276,0.444,0.34,0.35
7LH5_DB,,,,
7LJ3_B,,,,
7LMA_B,,,,
7LMB_B,,,,
7LS1_B2,,,,
7LS1_n2,,,,
7LS2_B2,,,,
7LS2_n2,,,,
7LV0_2,,,,
7LV0_5,,,,
7LV0_6,,,,
7LVK_J,,,,
7M4V_B,,,,
7M4W_B,,,,
7M4X_B,,,,
7M4X_v,,,,
7M4Y_B,,,,
7M4Y_v,,,,
7M4Z_B,,,,
7MD7_1B,,,,
7MD7_2B,,,,
7MDZ_2,0.789,0.714,0.75,0.751
7MDZ_7,,,,
7MQA_L0,0.0,0.0,0.0,0.0
7MQA_L2,,,,
7MSC_B,,,,
7MSH_B,,,,
7MSM_B,,,,
7MSZ_B,,,,
7MT2_B,,,,
7MT3_B,,,,
7MT7_B,,,,
7MT7_x,,,,
7N1P_5,,,,
7N1P_Pt,,,,
7N2C_5,,,,
7N2C_Pt,,,,
7N2U_5,,,,
7N2V_5,,,,
7N30_5,,,,
7N30_Pt,,,,
7N31_5,,,,
7NBU_b,,,,
7NBU_V,,,,
7NFX_1,,,,
7NFX_7,,,,
7NHK_B,,,,
7NHK_D,,,,
7NHL_B,,,,
7NHL_D,,,,
7NHM_B,,,,
7NHM_D,,,,
7NHN_B,,,,
7NHN_D,,,,
7NQH_BB,,,,
7NQL_BB,,,,
7NRC_LB,,,,
7NRC_Sm,,,,
7NRD_LB,,,,
7NRD_Sm,,,,
7NSH_BB,,,,
7NSI_BB,,,,
7NSJ_BB,,,,
7NSO_8,0.842,0.667,0.744,0.749
7NSO_B,,,,
7NSP_8,0.76,0.792,0.776,0.776
7NSP_B,,,,
7NSP_v,,,,
7NSQ_8,0.762,0.667,0.711,0.713
7NSQ_B,,,,
7NSQ_v,,,,
7NWG_71,,,,
7NWH_7,,,,
7NWI_2,,,,
7NWI_7,,,,
7NWT_3,,,,
7NWT_5,,,,
7NWW_3,,,,
7NWW_z,0.545,0.667,0.6,0.603
7O19_B8,,,,
7O19_BB,,,,
7O1A_B8,,,,
7O1A_BB,,,,
7O1C_B8,,,,
7O1C_BB,,,,
7O5B_U,,,,
7O7Y_AT,0.048,0.1,0.065,0.069
7O7Y_B7,,,,
7O7Z_AH,,,,
7O7Z_AT,0.048,0.1,0.065,0.069
