,PPV,TPR,F1,INF
4V9F_1_9,0.286,0.343,0.312,0.313
3SKL_1_B,0.895,0.895,0.895,0.895
6SY4_1_C,0.273,0.75,0.4,0.452
5WZI_1_B,0.0,0.0,0.0,0.0
4YAZ_1_R,0.37,0.588,0.455,0.467
4BW0_1_A,0.857,1.0,0.923,0.926
6FQL_1_B,1.0,1.0,1.0,1.0
6DCC_1_B,0.857,0.857,0.857,0.857
5M0J_1_F,0.833,0.833,0.833,0.833
6R5Q_1_3,0.583,0.778,0.667,0.674
1GAX_1_D,0.778,0.7,0.737,0.738
6E8U_1_B,0.4,1.0,0.571,0.632
4W5N_1_B,0.0,0.0,0.0,0.0
1XJR_1_A,0.471,0.615,0.533,0.538
5UZ6_1_A,1.0,1.0,1.0,1.0
6QW6_1_4,0.421,0.364,0.39,0.391
6H0R_1_A,0.923,1.0,0.96,0.961
1KXK_1_A,0.762,0.727,0.744,0.744
5XUZ_1_B,0.0,0.0,0.0,0.0
2OZB_1_C,0.875,0.778,0.824,0.825
4IFD_1_R,0.0,0.0,0.0,0.0
6AZ3_1_6,0.667,0.857,0.75,0.756
1OOA_1_C,0.727,1.0,0.842,0.853
7D7W_1_A,0.588,1.0,0.741,0.767
3TRZ_1_U,1.0,1.0,1.0,1.0
3FOZ_1_D,0.4,0.615,0.485,0.496
5WWE_1_B,0.0,0.0,0.0,0.0
6E1S_1_A,0.0,0.0,0.0,0.0
5E81_1_3L,0.636,0.955,0.764,0.779
1QTQ_1_B,0.789,0.75,0.769,0.769
4XWF_1_A,0.667,0.8,0.727,0.73
1M5K_1_B,0.571,0.8,0.667,0.676
6MSF_1_R,0.0,0.0,0.0,0.0
4C4W_1_H,0.0,0.0,0.0,0.0
5Y58_1_X,0.9,0.9,0.9,0.9
5M0I_1_F,0.833,0.833,0.833,0.833
5IBB_1_1L,0.387,0.571,0.462,0.47
4JXZ_1_B,0.667,0.778,0.718,0.72
6YL5_1_I,0.4,0.333,0.364,0.365
2A43_1_A,0.4,1.0,0.571,0.632
2ANN_1_B,0.0,0.0,0.0,0.0
3LA5_1_A,0.739,0.85,0.791,0.793
3SN2_1_B,0.909,0.909,0.909,0.909
4NLF_1_A,0.6,0.5,0.545,0.548
3KFU_1_L,0.696,0.889,0.78,0.786
6AJK_1_B,0.889,0.667,0.762,0.77
2AZX_1_D,0.563,0.5,0.529,0.53
6WJR_1_X,0.344,0.579,0.431,0.446
6XN5_1_R,0.0,0.0,0.0,0.0
6AAX_1_B,0.9,0.75,0.818,0.822
4LGT_1_E,0.5,0.667,0.571,0.577
6XA1_1_Bv,0.292,0.35,0.318,0.32
6YAL_1_1,0.565,0.565,0.565,0.565
5B63_1_D,0.765,0.813,0.788,0.788
